Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
ACT1000-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,13h30,15h20,Paul-Comtois 2105,En classe,Isabelle Larouche
ACT1000-Automne2023-B,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,13h30,15h20,Paul-Comtois 2105,En classe,N/A
ACT1000-Automne2022-C,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,13h30,15h20,Paul-Comtois 2105,En classe,N/A
ACT1001-Automne2024-A,0,Lundi,Du 3 sept. 2024 au 13 déc. 2024,14h30,16h20,Adrien-Pouliot 2501,Atelier,N/A
ACT1001-Hiver2024-B,0,Lundi,Du 15 jan. 2024 au 26 avr. 2024,12h30,15h20,Paul-Comtois 3111,En classe,N/A
ACT1001-Automne2023-C,0,Lundi,Du 5 sept. 2023 au 15 déc. 2023,13h30,15h20,Alexandre-Vachon 2860,Atelier,N/A
ACT1002-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,8h30,11h20,Adrien-Pouliot 2341,En classe,Huu Thai Nguyen
ACT1002-Automne2023-B,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 2341,En classe,N/A
ACT1002-Automne2022-C,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,8h30,11h20,Adrien-Pouliot 2700,En classe,N/A
ACT1003-Automne2024-A,0,Lundi,Du 3 sept. 2024 au 13 déc. 2024,12h30,14h20,Adrien-Pouliot 2501,Atelier,N/A
ACT1003-Automne2023-B,0,Lundi,Du 5 sept. 2023 au 15 déc. 2023,10h30,12h20,Adrien-Pouliot 2501,Atelier,N/A
ACT1003-Automne2022-C,0,Lundi,Du 6 sept. 2022 au 16 déc. 2022,12h30,14h20,Paul-Comtois 2105,Atelier,N/A
ACT1005-Hiver2024-A,0,Vendredi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Paul-Comtois 2105,En classe,N/A
ACT1005-Hiver2023-B,0,Vendredi,Du 10 jan. 2023 au 27 jan. 2023,13h30,16h20,Paul-Comtois 2105,En classe,N/A
ACT1006-Hiver2024-A,0,Lundi,Du 15 jan. 2024 au 26 avr. 2024,16h30,19h20,Paul-Comtois 2105,En classe,N/A
ACT1006-Hiver2023-B,0,Mercredi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2700,En classe,N/A
